idCorredor;IdEmpresa;IdOrigen;IdDestino;IdRetorno;OneWay;RoundTrip;TTA_Transporte;TTA_Cliente;IndTipo;Costo;Fecha;Activo;IdUsuario;equivalente;
1;1;PTO BS AS;GENERAL DEHEZA;PTO BS AS;50;100;8;10;1;40000;10/08/2020 00:00;1;3;\N;
2;1;PTO BS AS;ALEJANDRO ROCA;PTO BS AS;550;1100;10;12;1;38000;10/08/2020 00:00;1;3;\N;
3;1;PTO BS AS;CALCHIN;PTO BS AS;630;1260;10;12;1;65000;17/03/2021 00:00;1;3;\N;
4;1;PTO BS AS;VILLA MERCEDES SL;PTO BS AS;710;1420;12;14;1;45000;26/02/2020 00:00;1;3;\N;
5;1;PTO BS AS;CNEL SUAREZ;PTO BS AS;550;1100;10;12;1;40000;24/08/2020 00:00;1;3;\N;
6;1;PTO BS AS;LA LAGUNA;PTO BS AS;600;1200;10;12;1;40000;10/08/2020 00:00;1;3;\N;
7;1;PTO BS AS;CHACABUCO;PTO BS AS;250;500;4;5;1;23000;26/02/2020 00:00;1;3;\N;
8;1;PTO BS AS;GRAL ALVEAR;PTO BS AS;250;500;5;6;1;23000;26/02/2020 00:00;1;3;\N;
9;1;PTO BS AS;GRAL CABRERA;PTO BS AS;650;1300;10;12;1;40000;02/06/2020 00:00;1;3;\N;
10;1;PTO BS AS;GRAL PICO;PTO BS AS;600;1200;10;12;1;36000;26/02/2020 00:00;1;3;\N;
11;1;PTO BS AS;HUGHES;PTO BS AS;300;600;5;6;1;40000;13/04/2021 00:00;1;3;\N;
12;1;PTO BS AS;JESUS MARIA;PTO BS AS;750;1500;14;16;1;48000;26/02/2020 00:00;1;3;\N;
13;1;PTO BS AS;JUANA KOSLAY;PTO BS AS;850;1700;12;14;1;60000;26/02/2020 00:00;1;3;\N;
18;1;PTO BS AS;LEZAMA;PTO BS AS;160;320;3;4;1;20000;16/03/2020 00:00;1;3;\N;
19;1;PTO BS AS;LINCOLN;PTO BS AS;340;680;5;6;1;23000;26/02/2020 00:00;1;3;\N;
20;1;PTO BS AS;LOCAL;PTO BS AS;15;30;2;2;1;6000;28/02/2020 00:00;1;3;\N;
21;1;PTO BS AS;MAR DEL PLATA;PTO BS AS;420;840;7;8;1;38000;22/12/2020 00:00;1;3;\N;
22;1;PTO BS AS;MARI LAUQUEN;PTO BS AS;480;960;9;10;1;32000;04/07/2020 00:00;1;3;\N;
23;1;PTO BS AS;MURPHI;PTO BS AS;390;780;7;8;1;25000;29/02/2020 00:00;1;3;\N;
24;1;PTO BS AS;ORO VERDE;PTO BS AS;450;900;9;10;1;30000;29/02/2020 00:00;1;3;\N;
25;1;PTO BS AS;PTO SAN MARTIN;PTO BS AS;330;660;6;7;1;26000;10/08/2020 00:00;1;3;\N;
26;1;PTO BS AS;ROSARIO;PTO BS AS;300;600;5;6;1;27000;09/09/2020 00:00;1;3;\N;
27;1;PTO BS AS;SAN MIGUEL DEL MONTE;PTO BS AS;120;240;3;3;1;17000;16/03/2020 00:00;1;3;\N;
28;1;PTO BS AS;TIMBUES;PTO BS AS;340;680;6;7;1;49000;02/08/2021 00:00;1;3;\N;
29;1;PTO BS AS;TORTUGUITAS;PTO BS AS;30;60;1;1;1;11000;15/03/2021 00:00;1;3;\N;
30;1;PTO BS AS;VILLA CONSTITUCION;PTO BS AS;260;520;4;5;1;23000;29/02/2020 00:00;1;3;\N;
31;1;PTO BS AS;VILLA GOB GALVEZ;PTO BS AS;300;600;5;6;1;24000;29/02/2020 00:00;1;3;\N;
32;1;PTO BS AS;TICINO;PTO BS AS;605;1210;10;12;1;38000;04/07/2020 00:00;1;2;\N;
33;1;PTO BS AS;MERCEDES ;PTO BS AS;110;220;3;3;1;18000;10/03/2020 00:00;1;2;\N;
34;1;PTO BS AS;RUEDA;PTO BS AS;280;560;4;5;1;22000;16/03/2020 00:00;1;3;\N;
35;1;PTO BS AS;SANTA EUFEMIA;PTO BS AS;550;1100;8;10;1;37000;04/07/2020 00:00;1;2;\N;
36;1;PTO BS AS;AREQUITO;PTO BS AS;380;760;7;8;1;28000;09/04/2020 00:00;1;2;\N;
37;1;PTO BS AS;SAN JERONIMO SUD;PTO BS AS;340;680;7;8;1;24000;13/04/2020 00:00;1;2;\N;
38;1;PTO BS AS;CARNERILLO;PTO BS AS;660;1320;10;11;1;40000;24/08/2020 00:00;1;2;\N;
39;1;PTO BS AS;TEMPERLEY;PTO BS AS;20;40;1;2;1;6000;15/04/2020 00:00;1;2;\N;
40;1;PTO BS AS;CHIVILCOY;PTO BS AS;150;300;4;5;1;20000;15/04/2020 00:00;1;2;\N;
41;1;PTO BS AS;DESVIO ARIJON;PTO BS AS;440;880;7;8;1;27000;20/04/2020 00:00;1;2;\N;
42;1;PTO BS AS;BASAVILBASO;PTO BS AS;330;660;5;6;1;27000;23/04/2020 00:00;1;2;\N;
43;1;PTO BS AS;JOSE LEON SUAREZ;PTO BS AS;20;40;1;2;1;6000;23/04/2020 00:00;1;1;\N;
44;1;PTO BS AS;CAPILLA DEL SEÑOR;PTO BS AS;60;120;3;4;1;15000;24/07/2020 00:00;1;2;\N;
45;1;PTO BS AS;GARIN;PTO BS AS;3;4;4;5;1;8000;28/04/2020 00:00;1;1;\N;
46;1;PTO BS AS;BERAZATEGUI;PTO BS AS;25;50;2;3;1;6000;29/04/2020 00:00;1;2;\N;
49;1;PTO BS AS;PARQUE INDUSTRIAL PILAR;PTO BS AS;50;100;2;3;1;6000;29/04/2020 00:00;1;2;\N;
